3,Anthony Davis,PF,10-Jun,253,31,Los Angeles Lakers,12,Kentucky,2012 Rnd 1 Pick 1,United States
1,Johnny Davis,F,4-Jun,195,22,Washington Wizards,2,Wisconsin,2022 Rnd 1 Pick 10,United States
20,J.D. Davison,F,1-Jun,195,22,Boston Celtics,2,Alabama,2022 Rnd 2 Pick 23,United States
10,DeMar DeRozan,GF,6-Jun,220,35,Sacramento Kings,15,USC,2009 Rnd 1 Pick 9,United States
14,Moussa Diabate,PF,9-Jun,210,23,Charlotte Hornets,2,Michigan,2022 Rnd 2 Pick 13,France
1,Gradey Dick,GF,6-Jun,200,20,Toronto Raptors,1,Kansas,2023 Rnd 1 Pick 13,United States
13,Ousmane Dieng,SG,9-Jun,185,21,Oklahoma City Thunder,2,New Zealand (New Zealand),2022 Rnd 1 Pick 11,France
4,Rob Dillingham,G,3-Jun,175,19,Minnesota Timberwolves,0,Kentucky,2024 Rnd 1 Pick 8,United States
26,Spencer Dinwiddie,PG,5-Jun,215,31,Dallas Mavericks,10,Colorado,2014 Rnd 2 Pick 8,United States
0,Donte DiVincenzo,SG,4-Jun,203,27,Minnesota Timberwolves,6,Villanova,2018 Rnd 1 Pick 17,United States
77,Luka Doncic,SF,6-Jun,230,25,Dallas Mavericks,6,Real Madrid (Spain),2018 Rnd 1 Pick 3,Slovenia
5,Luguentz Dort,PG,4-Jun,220,25,Oklahoma City Thunder,5,Arizona State,"2019 NBA Draft, Undrafted",Canada
11,Ayo Dosunmu,PG,5-Jun,200,24,Chicago Bulls,3,Illinois,2021 Rnd 2 Pick 8,United States
11,Jeff Dowtin,PG,3-Jun,177,27,Philadelphia Sixers,3,Rhode Island,"2020 NBA Draft, Undrafted",United States
35,P.J. Dozier,PG,6-Jun,205,27,Minnesota Timberwolves,6,South Carolina,"2017 NBA Draft, Undrafted",United States
5,Andre Drummond,C,11-Jun,279,31,Philadelphia Sixers,12,UConn,2012 Rnd 1 Pick 9,United States
27,Chris Duarte,PG,5-Jun,190,27,Chicago Bulls,3,Oregon,2021 Rnd 1 Pick 13,CanadaDominican Republic
88,Alex Ducas,G,7-Jun,220,24,Oklahoma City Thunder,0,Saint Mary's,"2024 NBA Draft, Undrafted",Australia
7,David Duke,SG,4-Jun,204,25,San Antonio Spurs,3,Providence,"2021 NBA Draft, Undrafted",United States
8,Kris Dunn,SG,3-Jun,205,30,Los Angeles Clippers,8,Providence,2016 Rnd 1 Pick 5,United States
0,Ryan Dunn,G,8-Jun,216,21,Phoenix Suns,0,Virginia,2024 Rnd 1 Pick 28,United States
35,Kevin Durant,SF,11-Jun,240,36,Phoenix Suns,17,Texas,2007 Rnd 1 Pick 2,United States
0,Jalen Duren,PF,10-Jun,250,20,Detroit Pistons,2,Memphis,2022 Rnd 1 Pick 13,United States
17,Tari Eason,F,8-Jun,215,23,Houston Rockets,2,LSU,2022 Rnd 1 Pick 17,United States
14,Zach Edey,C,4-Jul,305,22,Memphis Grizzlies,0,Purdue,2024 Rnd 1 Pick 9,Canada
5,Anthony Edwards,SF,4-Jun,225,23,Minnesota Timberwolves,4,Georgia,2020 Rnd 1 Pick 1,United States
14,Jesse Edwards,C,Jul-00,230,25,Minnesota Timberwolves,0,West Virginia,"2024 NBA Draft, Undrafted",Netherlands
19,Justin Edwards,SF,7-Jun,203,21,Philadelphia Sixers,0,Kentucky,"2024 NBA Draft, Undrafted",United States
20,Kessler Edwards,SG,7-Jun,203,24,Dallas Mavericks,3,Pepperdine,2021 Rnd 2 Pick 14,United States
23,Keon Ellis,F,4-Jun,175,24,Sacramento Kings,2,Alabama,"2022 NBA Draft, Undrafted",United States
21,Joel Embiid,C,Jul-00,280,30,Philadelphia Sixers,10,Kansas,2014 Rnd 1 Pick 3,CameroonUnited States
15,Drew Eubanks,C,10-Jun,245,27,Utah Jazz,6,Oregon State,"2018 NBA Draft, Undrafted",United States
0,Dante Exum,PG,5-Jun,214,29,Dallas Mavericks,8,Australian Institute of Sport (Australian Capital Territory),2014 Rnd 1 Pick 5,Australia
24,Bruno Fernando,C,9-Jun,240,26,Toronto Raptors,5,Maryland,2019 Rnd 2 Pick 4,Angola
22,Kyle Filipowski,C,11-Jun,250,20,Utah Jazz,0,Duke,2024 Rnd 2 Pick 2,United States
28,Dorian Finney-Smith,SF,7-Jun,220,31,Brooklyn Nets,8,Florida,"2016 NBA Draft, Undrafted",United States
14,Adam Flagler,G,3-Jun,180,24,Oklahoma City Thunder,1,Baylor,"2023 NBA Draft, Undrafted",United States
9,Trentyn Flowers,F,9-Jun,185,20,Los Angeles Clippers,0,Adelaide (Australia),"2024 NBA Draft, Undrafted",United States
19,Simone Fontecchio,SF,7-Jun,209,28,Detroit Pistons,2,AX Armani Exchange Milan (Italy),"2017 NBA Draft, Undrafted",Italy
5,De'Aaron Fox,PG,3-Jun,185,26,Sacramento Kings,7,Kentucky,2017 Rnd 1 Pick 5,United States
8,Enrique Freeman,F,7-Jun,206,24,Indiana Pacers,0,Akron,2024 Rnd 2 Pick 20,United States
12,Johnny Furphy,F,9-Jun,200,19,Indiana Pacers,0,Kansas,2024 Rnd 2 Pick 5,Australia
21,Daniel Gafford,C,10-Jun,265,26,Dallas Mavericks,5,Arkansas,2019 Rnd 2 Pick 8,United States
10,Darius Garland,G,1-Jun,192,24,Cleveland Cavaliers,5,Vanderbilt,2019 Rnd 1 Pick 5,United States
55,Luka Garza,C,10-Jun,243,25,Minnesota Timberwolves,3,Iowa,2021 Rnd 2 Pick 22,United StatesBosnia and Herzegovina
3,Keyonte George,G,4-Jun,185,20,Utah Jazz,1,Baylor,2023 Rnd 1 Pick 16,United States
18,Kyshawn George,F,8-Jun,200,20,Washington Wizards,0,Miami (FL),2024 Rnd 1 Pick 24,Switzerland
8,Paul George,GF,8-Jun,220,34,Philadelphia Sixers,14,Fresno State,2010 Rnd 1 Pick 10,United States
67,Taj Gibson,F,9-Jun,232,39,Charlotte Hornets,15,USC,2009 Rnd 1 Pick 26,United States
3,Josh Giddey,G,8-Jun,216,22,Chicago Bulls,3,Adelaide (Australia),2021 Rnd 1 Pick 6,Australia
2,Shai Gilgeous-Alexander,PG,6-Jun,195,26,Oklahoma City Thunder,6,Kentucky,2018 Rnd 1 Pick 11,Canada
16,Anthony Gill,PF,8-Jun,230,32,Washington Wizards,4,Virginia,"2016 NBA Draft, Undrafted",United States
